portal,cnpj_emp,transacao,usuario,documento,chave_nf,ecf,numero_serie_ecf,modelo_nf,data_documento,data_lancamento,codigo_cliente,serie,desc_cfop,id_cfop,cod_vendedor,quantidade,preco_custo,valor_liquido,desconto,cst_icms,cst_pis,cst_cofins,cst_ipi,valor_icms,aliquota_icms,base_icms,valor_pis,aliquota_pis,base_pis,valor_cofins,aliquota_cofins,base_cofins,valor_icms_st,aliquota_icms_st,base_icms_st,valor_ipi,aliquota_ipi,base_ipi,valor_total,forma_dinheiro,total_dinheiro,forma_cheque,total_cheque,forma_cartao,total_cartao,forma_crediario,total_crediario,forma_convenio,total_convenio,frete,operacao,tipo_transacao,cod_produto,cod_barra,cancelado,excluido,soma_relatorio,identificador,deposito
8560,03772229001880,21,108649,3,43161103772229001880650100000000031455087582,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1172,7898524346260,S,N,S,643ef1f6-6e53-4d9d-a238-ccf6e1856c8f,1 - Estoque
8560,03772229001880,22,108311,4,43161103772229001880650100000000041208731113,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1172,7898524346260,S,N,S,43d17c9d-1e83-492a-8187-24beee9239b1,1 - Estoque
8560,03772229001880,23,108311,4,43161103772229001880650110000000041312539440,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1172,7898524346260,S,N,S,250f99a4-8ba4-4952-8270-0a4f1c2b5cc3,1 - Estoque
8560,03772229001880,24,108311,1,43161103772229001880650120000000011376873567,3,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,12,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1172,7898524346260,S,N,S,f5312d11-8dcb-438a-87b5-19dd952ea8d4,1 - Estoque
8560,03772229001880,25,108311,5,43161103772229001880650100000000051299904447,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,6,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1172,7898524346260,S,N,S,492c9337-1d6d-434e-98ea-73b13823f1d6,1 - Estoque
8560,03772229001880,26,108311,1,43161103772229001880650130000000011396153302,4,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,13,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1172,7898524346260,S,N,S,e7b4a627-5353-4847-8662-2310cb410b2b,1 - Estoque
8560,03772229001880,27,108651,2,43161103772229001880650120000000021430308084,3,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,12,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"37,98000000",37.98,"0,0000",0.00,01,01,99,"6,8400","18,0000","37,9800","0,2500","0,6500","37,9800","1,1400","3,0000","37,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",37.9799995422363,1,"132,9000",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,11818,7898214626207,S,N,S,d0e2385e-0308-417a-a7e3-9f329c51d9aa,1 - Estoque
8560,03772229001880,28,108651,2,43161103772229001880650120000000021430308084,3,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,12,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"34,98000000",34.98,"0,0000",0.00,01,01,99,"6,3000","18,0000","34,9800","0,2300","0,6500","34,9800","1,0500","3,0000","34,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",34.9799995422363,1,"132,9000",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,6784,7896014179411,S,N,S,d0e2385e-0308-417a-a7e3-9f329c51d9aa,1 - Estoque
8560,03772229001880,29,108651,2,43161103772229001880650120000000021430308084,3,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,12,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,3,"19,98000000",19.98,"0,0000",0.00,01,01,99,"10,7900","18,0000","59,9400","0,3900","0,6500","59,9400","1,8000","3,0000","59,9400","0,0000",,"0,0000","0,0000","0,0000","0,0000",59.939998626709,1,"132,9000",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1172,7898524346260,S,N,S,d0e2385e-0308-417a-a7e3-9f329c51d9aa,1 - Estoque
8560,03772229001880,30,108650,5,43161103772229001880650110000000051692272830,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"41,48000000",41.48,"0,0000",0.00,01,01,99,"7,4700","18,0000","41,4800","0,2700","0,6500","41,4800","1,2400","3,0000","41,4800","0,0000",,"0,0000","0,0000","0,0000","0,0000",41.4799995422363,1,"189,8800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,2092,7898332357038,S,N,S,c0440a25-43cd-40f3-81ea-78741f257690,1 - Estoque
8560,03772229001880,31,108650,5,43161103772229001880650110000000051692272830,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"41,48000000",41.48,"0,0000",0.00,01,01,99,"7,4700","18,0000","41,4800","0,2700","0,6500","41,4800","1,2400","3,0000","41,4800","0,0000",,"0,0000","0,0000","0,0000","0,0000",41.4799995422363,1,"189,8800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,2101,7898332357205,S,N,S,c0440a25-43cd-40f3-81ea-78741f257690,1 - Estoque
8560,03772229001880,32,108650,5,43161103772229001880650110000000051692272830,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"37,98000000",37.98,"0,0000",0.00,01,01,99,"6,8400","18,0000","37,9800","0,2500","0,6500","37,9800","1,1400","3,0000","37,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",37.9799995422363,1,"189,8800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,11818,7898214626207,S,N,S,c0440a25-43cd-40f3-81ea-78741f257690,1 - Estoque
8560,03772229001880,33,108650,5,43161103772229001880650110000000051692272830,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"189,8800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1172,7898524346260,S,N,S,c0440a25-43cd-40f3-81ea-78741f257690,1 - Estoque
8560,03772229001880,34,108650,5,43161103772229001880650110000000051692272830,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"34,98000000",34.98,"0,0000",0.00,01,01,99,"6,3000","18,0000","34,9800","0,2300","0,6500","34,9800","1,0500","3,0000","34,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",34.9799995422363,1,"189,8800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,6784,7896014179411,S,N,S,c0440a25-43cd-40f3-81ea-78741f257690,1 - Estoque
8560,03772229001880,35,108650,5,43161103772229001880650110000000051692272830,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"13,98000000",13.98,"0,0000",0.00,01,01,99,"2,5200","18,0000","13,9800","0,0900","0,6500","13,9800","0,4200","3,0000","13,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",13.9799995422363,1,"189,8800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1017,7898524342927,S,N,S,c0440a25-43cd-40f3-81ea-78741f257690,1 - Estoque
8560,03772229001880,36,108650,6,43161103772229001880650110000000061018512756,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,4,1,"37,98000000",37.98,"0,0000",0.00,01,01,99,"6,8400","18,0000","37,9800","0,2500","0,6500","37,9800","1,1400","3,0000","37,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",37.9799995422363,1,"37,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,11818,7898214626207,S,N,S,9f0dd6ba-e5c2-4ca0-90aa-d5cc6f588c6e,1 - Estoque
8560,03772229001880,37,108649,6,43161103772229001880650100000000061302265516,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,6,1,"43,98000000",43.98,"0,0000",0.00,01,01,99,"7,9200","18,0000","43,9800","0,2900","0,6500","43,9800","1,3200","3,0000","43,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",43.9799995422363,1,"137,9200",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,2105,7898332357243,S,N,S,fb8e8bd4-b543-440b-8969-5edd9b9b9653,1 - Estoque
8560,03772229001880,38,108649,6,43161103772229001880650100000000061302265516,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,6,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"137,9200",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1019,7898524342941,S,N,S,fb8e8bd4-b543-440b-8969-5edd9b9b9653,1 - Estoque
8560,03772229001880,39,108649,6,43161103772229001880650100000000061302265516,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,6,1,"35,98000000",35.98,"0,0000",0.00,01,01,99,"6,4800","18,0000","35,9800","0,2300","0,6500","35,9800","1,0800","3,0000","35,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",35.9799995422363,1,"137,9200",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,2542,7898581085577,S,N,S,fb8e8bd4-b543-440b-8969-5edd9b9b9653,1 - Estoque
8560,03772229001880,40,108649,6,43161103772229001880650100000000061302265516,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,6,1,"37,98000000",37.98,"0,0000",0.00,01,01,99,"6,8400","18,0000","37,9800","0,2500","0,6500","37,9800","1,1400","3,0000","37,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",37.9799995422363,1,"137,9200",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,11818,7898214626207,S,N,S,fb8e8bd4-b543-440b-8969-5edd9b9b9653,1 - Estoque
8560,03772229001880,42,108649,7,43161103772229001880650100000000071638934186,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,3,1,"37,98000000",37.98,"0,0000",0.00,01,01,99,"6,8400","18,0000","37,9800","0,2500","0,6500","37,9800","1,1400","3,0000","37,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",37.9799995422363,1,"56,9700",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,11818,7898214626207,S,N,S,d392b6da-4584-4555-a65a-75c024e8b5bb,1 - Estoque
8560,03772229001880,43,108649,7,43161103772229001880650100000000071638934186,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,3,1,"18,99000000",18.99,"0,0000",0.00,01,01,99,"3,4200","18,0000","18,9900","0,1200","0,6500","18,9900","0,5700","3,0000","18,9900","0,0000",,"0,0000","0,0000","0,0000","0,0000",18.9899997711182,1,"56,9700",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,11818,7898214626207,S,N,S,d392b6da-4584-4555-a65a-75c024e8b5bb,1 - Estoque
